"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
3490,"KDLF","large_airport","Laughlin Air Force Base",29.3595008850098,-100.77799987793,1082,"NA","US","US-TX","Del Rio","no","KDLF",,"DLF",,,
3491,"KDLH","large_airport","Duluth International Airport",46.842098236084,-92.193603515625,1428,"NA","US","US-MN","Duluth","yes","KDLH","DLH","DLH",,"http://en.wikipedia.org/wiki/Duluth_International_Airport",
19640,"KDLS","medium_airport","Columbia Gorge Regional the Dalles Municipal Airport",45.6184997558594,-121.166999816895,247,"NA","US","US-OR","The Dalles","no","KDLS",,"DLS",,,
3492,"KDMA","medium_airport","Davis Monthan Air Force Base",32.1665000916,-110.883003235,2704,"NA","US","US-AZ","Tucson","no","KDMA","DMA","DMA",,"http://en.wikipedia.org/wiki/Davis-Monthan_Air_Force_Base",
3493,"KDMN","medium_airport","Deming Municipal Airport",32.262298584,-107.721000671,4314,"NA","US","US-NM","Deming","no","KDMN","DMN","DMN","http://www.cityofdeming.org/deming-community/municipal-airport","http://en.wikipedia.org/wiki/Deming_Municipal_Airport",
19644,"KDNL","medium_airport","Daniel Field",33.4664993286,-82.0393981934,423,"NA","US","US-GA","Augusta","no","KDNL","DNL","DNL","http://www.augustaga.gov/index.aspx?NID=486","http://en.wikipedia.org/wiki/Daniel_Field",
3494,"KDOV","large_airport","Dover Air Force Base",39.12950134,-75.46600342,24,"NA","US","US-DE","Dover","no","KDOV",,"DOV",,"http://en.wikipedia.org/wiki/Dover_Air_Force_Base",
19648,"KDPA","medium_airport","Dupage Airport",41.90779877,-88.24859619,759,"NA","US","US-IL","Chicago/West Chicago","no","KDPA","DPA","DPA","http://www.dupageairport.com/","http://en.wikipedia.org/wiki/DuPage_Airport",
19652,"KDRA","medium_airport","Desert Rock Airport",36.6194000244,-116.032997131,3314,"NA","US","US-NV","Mercury","no","KDRA",,"NV65",,"http://en.wikipedia.org/wiki/Desert_Rock_Airport","Formerly DRA"
3495,"KDRI","medium_airport","Beauregard Regional Airport",30.8316993713379,-93.3398971557617,202,"NA","US","US-LA","De Ridder","no","KDRI",,"DRI",,,
19655,"KDRT","medium_airport","Del Rio International Airport",29.3742008209,-100.927001953,1002,"NA","US","US-TX","Del Rio","no","KDRT","DRT","DRT","http://www.cityofdelrio.com/index.aspx?NID=412","http://en.wikipedia.org/wiki/Del_Rio_International_Airport",
3496,"KDSM","large_airport","Des Moines International Airport",41.5340003967285,-93.6631011962891,958,"NA","US","US-IA","Des Moines","yes","KDSM","DSM","DSM",,"http://en.wikipedia.org/wiki/Des_Moines_International_Airport",
3497,"KDTW","large_airport","Detroit Metropolitan Wayne County Airport",42.2123985290527,-83.353401184082,645,"NA","US","US-MI","Detroit","yes","KDTW","DTW","DTW","http://www.metroairport.com/","http://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport","DTT, Detroit Metro Airport"
19664,"KDUG","medium_airport","Bisbee Douglas International Airport",31.4689998627,-109.603996277,4154,"NA","US","US-AZ","Douglas Bisbee","no","KDUG","DUG","DUG","http://www.azdot.gov/mpd/airport_development/airports/airports_list.asp?FAA=DUG","http://en.wikipedia.org/wiki/Bisbee-Douglas_International_Airport",
3498,"KDUJ","medium_airport","DuBois Regional Airport",41.17829895,-78.8986969,1817,"NA","US","US-PA","Dubois","yes","KDUJ","DUJ","DUJ",,"http://en.wikipedia.org/wiki/DuBois_Regional_Airport","DuBois Jefferson County"
3499,"KDYS","large_airport","Dyess Air Force Base",32.4207992554,-99.854598999,1789,"NA","US","US-TX","Abilene","no","KDYS","DYS","DYS","http://www.dyess.af.mil/","http://en.wikipedia.org/wiki/Dyess_Air_Force_Base",
44467,"KE-0075","medium_airport","Laikipia Air Base",0.0329332016408443,37.0269012451172,,"AF","KE","KE-700","Nanyuki","no",,,,,,
19717,"KEAT","medium_airport","Pangborn Memorial Airport",47.3988990784,-120.207000732,1249,"NA","US","US-WA","Wenatchee","no","KEAT","EAT","EAT","http://www.pangbornairport.com/","http://en.wikipedia.org/wiki/Pangborn_Memorial_Airport",
3501,"KEAU","medium_airport","Chippewa Valley Regional Airport",44.8657989501953,-91.4842987060547,913,"NA","US","US-WI","Eau Claire","yes","KEAU","EAU","EAU",,"http://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport",
3502,"KECG","medium_airport","Elizabeth City Regional Airport & Coast Guard Air Station",36.26060104,-76.17459869,12,"NA","US","US-NC","Elizabeth City","no","KECG","ECG","ECG","http://www.ecgairport.com/","http://en.wikipedia.org/wiki/Elizabeth_City_Regional_Airport",
3503,"KEDW","large_airport","Edwards Air Force Base",34.90539932,-117.8840027,2312,"NA","US","US-CA","Edwards","no","KEDW",,"EDW",,"http://en.wikipedia.org/wiki/Edwards_Air_Force_Base",
19727,"KEED","medium_airport","Needles Airport",34.766300201416,-114.623001098633,983,"NA","US","US-CA","Needles","no","KEED",,"EED",,,
